Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
part_id,demographics,,text,part_id,,,,,,,,,,,,,
mombaby_status,demographics,,text,Mom/Baby Status,,,,,,,,,,,,,
part_gender,demographics,,text,participant gender,,,,,,,,,,,,,
part_ethnicity,demographics,,text,participant ethnicity,,,,,,,,,,,,,
part_race,demographics,,text,participant race,,,,,,,,,,,,,
part_dob,delivery,,text,participant dob,,MM-DD-YYYY,date_mdy,,,y,,,,,,,
delivery_mode,delivery,,text,delivery_mode,,,,,,,,,,,,,
birth_wt_measure,delivery,,text,birth_wt_measure,,,,,,,,,,,,,
birth_wt_gr,delivery,,text,birth_wt_gr,,,,,,,,,,,,,
birth_wt_units,delivery,,text,birth_wt_units,,,,,,,,,,,,,
delivery_admit_date,delivery,,text,delivery admit date,,MM-DD-YYYY,date_mdy,,,y,,,,,,,
delivery_admit_source,delivery,,text,delivery_admit_source,,,,,,,,,,,,,
gest_age_measure,delivery,,text,gest_age_measure,,,,,,,,,,,,,
gest_age,delivery,,text,gest_age,,,,,,,,,,,,,
gest_age_units,delivery,,text,gest_age_units,,,,,,,,,,,,,
baby_nicu_los,delivery,,text,baby_nicu_los,,,number,,,,,,,,,,
mom_admit_bmi_measure,delivery,,text,mom_admit_bmi_measure,,,,,,,,,,,,,
mom_admit_bmi,delivery,,text,mom_admit_bmi,,,,,,,,,,,,,
mom_admit_bmi_units,delivery,,text,mom_admit_bmi_units,,,,,,,,,,,,,
mom_admit_wt_measure,delivery,,text,mom_admit_wt_measure,,,,,,,,,,,,,
mom_admit_wt_lbs,delivery,,text,mom_admit_weight_lbs,,,,,,,,,,,,,
mom_admit_wt_lbs_units,delivery,,text,mom_admit_wt_lbs_units,,,,,,,,,,,,,
mom_admit_wt_kgs,delivery,,text,mom_admit_weight_kgs,,,,,,,,,,,,,
mom_admit_wt_kgs_units,delivery,,text,mom_admit_wt_kgs_units,,,,,,,,,,,,,
mom_admit_ht_measure,delivery,,text,mom_admit_ht_measure,,,,,,,,,,,,,
mom_admit_ht_in,delivery,,text,mom_admit_height_in,,,,,,,,,,,,,
mom_admit_ht_in_units,delivery,,text,mom_admit_ht_in_units,,,,,,,,,,,,,
mom_admit_ht_cm,delivery,,text,mom_admit_height_cm,,,,,,,,,,,,,
mom_admit_ht_cm_units,delivery,,text,mom_admit_ht_cm_units,,,,,,,,,,,,,
mom_admit_age_measure,delivery,,text,mom_admit_age_measure,,,,,,,,,,,,,
mom_admit_age_yr,delivery,,text,mom_admit_age_yr,,,,,,,,,,,,,
mom_admit_age_yr_units,delivery,,text,mom_admit_age_yr_units,,,,,,,,,,,,,
health_insurance,delivery,,text,health_insurance,,,,,,,,,,,,,
delivery_zip_code,delivery,,text,delivery_zip_code,,,number,,,,,,,,,,
delivery_zipcode9,delivery,,text,delivery_zipcode9,,,,,,,,,,,,,
nicu_los_days,delivery,,text,nicu_los_days,,,,,,,,,,,,,
nicu_enter_date,delivery,,text,nicu_enter_date,,,,,,,,,,,,,
nicu_exit_date,delivery,,text,nicu_exit_date,,,,,,,,,,,,,
nicu_los_units,delivery,,text,nicu_los_units,,,,,,,,,,,,,
nicu_los_measure,delivery,,text,nicu_los_measure,,,,,,,,,,,,,
anthropometric_title1,anthropometrics,,descriptive,Anthropometric Measures,,,,,,,,,,,,,
prenatal_bmi_encounter_type,anthropometrics,,text,prenatal_bmi_type,,,,,,,,,,,,,
prenatal_bmi_encounter_date,anthropometrics,,text,prenatal_bmi encounter date,,,,,,,,,,,,,
prenatal_bmi_measure,anthropometrics,,text,prenatal_bmi_measure,,,,,,,,,,,,,
prenatal_bmi_value,anthropometrics,,text,prenatal_bmi_value,,,,,,,,,,,,,
prenatal_bmi_measure_units,anthropometrics,,text,prenatal_bmi_measure_units,,,,,,,,,,,,,
