Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
part_id,baby_demography,,text,part_id,,,,,,,,,,,,,
baby_race,baby_demography,,text,baby_race,,,,,,,,,,,,,
baby_ethnicity,baby_demography,,text,baby_ethnicity,,,,,,,,,,,,,
baby_dob,baby_demography,,text,baby_dob,,MM-DD-YYYY,date_mdy,,,y,,,,,,,
baby_birth_wt_gr,baby_demography,,text,baby_birth_wt_gr,,,number,,,,,,,,,,
delivery_mode,baby_demography,,text,delivery_mode,,,,,,,,,,,,,
baby_admit_date,baby_demography,,text,baby_admit_date,,MM-DD-YYYY,date_mdy,,,y,,,,,,,
baby_admit_source,baby_demography,,text,baby_admit_source,,,,,,,,,,,,,
baby_gest_age,baby_demography,,text,baby_gest_age,,,,,,,,,,,,,
baby_nicu_los,baby_demography,,text,baby_nicu_los,,,number,,,,,,,,,,
days2_baby_admit,baby_demography,,text,days2_baby_admit,,,number,,,,,,,,,,
baby_gender,baby_demography,,text,baby_gender,,,,,,,,,,,,,
mom_id2,baby_demography,,text,mom_id2,,,,,,,,,,,,,
mom_age_delivery,baby_demography,,text,mom_age_delivery,,,,,,,,,,,,,
payer,baby_demography,,text,payer,,,,,,,,,,,,,
baby_zip_code,baby_demography,,text,baby_zip_code,,,number,,,,,,,,,,
baby_zipcode9,baby_demography,,text,baby_zipcode9,,,,,,,,,,,,,
days2_baby_vac,baby_vaccines,,text,days2_baby_vac,,,number,,,,,,,,,,
baby_immune_date,baby_vaccines,,text,baby_immune_date,,MM-DD-YYYY,date_mdy,,,y,,,,,,,
baby_vac_name,baby_vaccines,,text,baby_vac_name,,,,,,,,,,,,,
baby_obs_date,baby_wellvisit,,text,baby_obs_date,,MM-DD-YYYY,date_mdy,,,y,,,,,,,
baby_ht_cm,baby_wellvisit,,text,baby_ht_cm,,,number,,,,,,,,,,
baby_wt_kgs,baby_wellvisit,,text,baby_wt_kgs,,,number,,,,,,,,,,
baby_head_circ_cm,baby_wellvisit,,text,baby_head_circ_cm,,,number,,,,,,,,,,
days2_baby_wellvisit,baby_wellvisit,,text,days2_baby_wellvisit,,,,,,,,,,,,,
part_id2,mom_baby_link,,text,part_link,,,,,,,,,,,,,
baby_ht1_date,baby_first_height,,text,baby_ht1_date,,MM-DD-YYYY,date_mdy,,,y,,,,,,,
days2_baby_ht1,baby_first_height,,text,days2_baby_ht1,,,,,,,,,,,,,
baby_ht1_cm,baby_first_height,,text,baby_ht1_cm,,,number,,,,,,,,,,
baby_hc1_date,baby_first_head_circumference,,text,baby_hc1_date,,MM-DD-YYYY,date_mdy,,,y,,,,,,,
days2_baby_hc1,baby_first_head_circumference,,text,days2_baby_hc1,,,,,,,,,,,,,
baby_hc1_cm,baby_first_head_circumference,,text,baby_hc1_cm,,,number,,,,,,,,,,
baby_med_order,baby_antibiotics_rx,,text,baby_med_order,,,,,,,,,,,,,
baby_med_code,baby_antibiotics_rx,,text,baby_med_code,,,,,,,,,,,,,
baby_meds,baby_antibiotics_rx,,text,baby_meds,,,,,,,,,,,,,
days2_baby_meds,baby_antibiotics_rx,,text,days2_baby_meds,,,,,,,,,,,,,
baby_med_date,baby_antibiotics_rx,,text,baby_med_date,,MM-DD-YYYY H:M,datetime_mdy,,,y,,,,,,,
baby_med_order_ip,baby_antibiotics_ip,,text,baby_med_order_ip,,,,,,,,,,,,,
baby_mar_action_ip,baby_antibiotics_ip,,text,baby_mar_action_ip,,,,,,,,,,,,,
baby_med_code_ip,baby_antibiotics_ip,,text,baby_med_code_ip,,,,,,,,,,,,,
baby_med_ip,baby_antibiotics_ip,,text,baby_med_ip,,,,,,,,,,,,,
days2_baby_meds_ip,baby_antibiotics_ip,,text,days2_baby_meds_ip,,,,,,,,,,,,,
baby_med_ip_date,baby_antibiotics_ip,,text,baby_med_ip_date,,MM-DD-YYYY H:M,datetime_mdy,,,y,,,,,,,
baby_asthma_date,baby_clinic_asthma,,text,baby_asthma_date,,MM-DD-YYYY,date_mdy,,,y,,,,,,,
days2_baby_asthma_clinic,baby_clinic_asthma,,text,days2_baby_asthma_clinic,,,,,,,,,,,,,
baby_asthma_icd,baby_clinic_asthma,,text,baby_asthma_icd,,,,,,,,,,,,,
baby_fa_date,baby_clinic_foodallergy,,text,baby_fa_date,,MM-DD-YYYY,date_mdy,,,y,,,,,,,
days2_baby_fa_clinic,baby_clinic_foodallergy,,text,days2_baby_fa_clinic,,,,,,,,,,,,,
baby_fa_icd,baby_clinic_foodallergy,,text,baby_fa_icd,,,,,,,,,,,,,
baby_ear_infect_date,baby_clinic_ear,,text,baby_ear_infect_date,,MM-DD-YYYY,date_mdy,,,y,,,,,,,
days2_baby_ear_clinic,baby_clinic_ear,,text,days2_baby_ear_clinic,,,,,,,,,,,,,
baby_ear_infect_icd,baby_clinic_ear,,text,baby_ear_infect_icd,,,,,,,,,,,,,
baby_eczema_date,baby_clinic_eczema,,text,baby_eczema_date,,MM-DD-YYYY,date_mdy,,,y,,,,,,,
days2_baby_eczema_clinic,baby_clinic_eczema,,text,days2_baby_eczema_clinic,,,,,,,,,,,,,
baby_eczema_icd,baby_clinic_eczema,,text,baby_eczema_icd,,,,,,,,,,,,,
baby_dermatitis_date,baby_clinic_dermatitis,,text,baby_dermatitis_date,,MM-DD-YYYY,date_mdy,,,y,,,,,,,
days2_baby_derm_clinic,baby_clinic_dermatitis,,text,days2_baby_derm_clinic,,,,,,,,,,,,,
baby_dermatitis_icd,baby_clinic_dermatitis,,text,baby_dermatitis_icd,,,,,,,,,,,,,
baby_erythema_date,baby_clinic_erythema,,text,baby_erythema_date,,MM-DD-YYYY,date_mdy,,,y,,,,,,,
days2_baby_eryth_clinic,baby_clinic_erythema,,text,days2_baby_eryth_clinic,,,,,,,,,,,,,
baby_erythema_icd,baby_clinic_erythema,,text,baby_erythema_icd,,,,,,,,,,,,,
baby_sebaceous_date,baby_clinic_sebaceous,,text,baby_sebaceous_date,,MM-DD-YYYY,date_mdy,,,y,,,,,,,
days2_baby_sebac_clinic,baby_clinic_sebaceous,,text,days2_baby_sebac_clinic,,,,,,,,,,,,,
baby_sebaceous_icd,baby_clinic_sebaceous,,text,baby_sebaceous_icd,,,,,,,,,,,,,
baby_hemangioma_date,baby_clinic_hemangioma,,text,baby_hemangioma_date,,MM-DD-YYYY,date_mdy,,,y,,,,,,,
days2_baby_hemang_clinic,baby_clinic_hemangioma,,text,days2_baby_hemang_clinic,,,,,,,,,,,,,
baby_hemangioma_icd,baby_clinic_hemangioma,,text,baby_hemangioma_icd,,,,,,,,,,,,,
baby_obesity_date,baby_clinic_obesity,,text,baby_obesity_date,,MM-DD-YYYY,date_mdy,,,y,,,,,,,
baby_obesity_icd,baby_clinic_obesity,,text,baby_obesity_icd,,,,,,,,,,,,,
days2_baby_obesity_clinic,baby_clinic_obesity,,text,days2_baby_obesity_clinic,,,,,,,,,,,,,
baby_asthma_hosp_date,baby_hospital_asthma,,text,baby_asthma_hosp_date,,MM-DD-YYYY,date_mdy,,,y,,,,,,,
days2_baby_asthma_hosp,baby_hospital_asthma,,text,days2_baby_asthma_hosp,,,,,,,,,,,,,
baby_asthma_hosp_icd,baby_hospital_asthma,,text,baby_asthma_hosp_icd,,,,,,,,,,,,,
baby_derm_hosp_date,baby_hospital_dermatitis,,text,baby_derm_hosp_date,,MM-DD-YYYY,date_mdy,,,y,,,,,,,
days2_baby_derm_hosp,baby_hospital_dermatitis,,text,days2_baby_derm_hosp,,,,,,,,,,,,,
baby_derm_hosp_icd,baby_hospital_dermatitis,,text,baby_derm_hosp_icd,,,,,,,,,,,,,
baby_ear_hosp_date,baby_hospital_ear,,text,baby_ear_hosp_date,,MM-DD-YYYY,date_mdy,,,y,,,,,,,
days2_baby_ear_hosp,baby_hospital_ear,,text,days2_baby_ear_hosp,,,,,,,,,,,,,
baby_ear_hosp_icd,baby_hospital_ear,,text,baby_ear_hosp_icd,,,,,,,,,,,,,
baby_eczema_hosp_date,baby_hospital_eczema,,text,baby_eczema_hosp_date,,MM-DD-YYYY,date_mdy,,,y,,,,,,,
days2_baby_eczema_hosp,baby_hospital_eczema,,text,days2_baby_eczema_hosp,,,,,,,,,,,,,
baby_eczema_hosp_icd,baby_hospital_eczema,,text,baby_eczema_hosp_icd,,,,,,,,,,,,,
baby_fa_hosp_date,baby_hospital_foodallergy,,text,baby_fa_hosp_date,,MM-DD-YYYY,date_mdy,,,y,,,,,,,
days2_baby_fa_hosp,baby_hospital_foodallergy,,text,days2_baby_fa_hosp,,,,,,,,,,,,,
baby_fa_hosp_icd,baby_hospital_foodallergy,,text,baby_fa_hosp_icd,,,,,,,,,,,,,
baby_hemang_hosp_date,baby_hospital_hemangioma,,text,baby_hemang_hosp_date,,MM-DD-YYYY,date_mdy,,,y,,,,,,,
